GRBa;GRB X-ray position;Error;Instrument;IPNb;XAb;OTb;RAb;IAUC;zc
061222;23h52m58sÿ+46ø 32';3';Swift;y;y;y;y;;2.088
061218;09h56m53sÿ-35ø 09';3';Swift;;;;;;
061217S;10h41m46sÿ-21ø 07';3';Swift;;y;;;;0.827
061210S;09h38m03sÿ+15ø 38';3';Swift;;y;;n;;0.4095
061202;07h02m34sÿ-74ø 40';3';Swift;;y;;;;2.2543
061201S;22h07m53sÿ-74ø 36';3';Swift;y;y;y;;;0.111
061126;05h46m30sÿ+64ø 11';3';Swift;y;y;y;n;;1.1588
061122;20h15m21sÿ+15ø 31';2.6';INTEGRAL;y;y;y;;;
061121;09h49m00sÿ-13ø 11';3';Swift;y;y;y;y;;1.314
061110B;21h35m36sÿ+06ø 53';3';Swift;;y;y;;;3.44
061110;22h25m13sÿ-02ø 16';3';Swift;;y;y;;;0.758
061102;09h53m37sÿ-17ø 04';3';Swift;;y;;;;
061028;06h28m51sÿ+46ø 16';3';Swift;;y;;n;;
061027;18h03m15sÿ-82ø 14';3';Swift;;;;;;
061025;20h03m39sÿ-48ø 15';3';INTEGRAL;;y;y;;;
061021;09h40m32sÿ-21ø 56';3';Swift;y;y;y;;;0.3463
061019;06h06m28sÿ+29ø 34';3';Swift;;y;y;;;
061007;03h05m16sÿ-50ø 29';3';Swift;y;y;y;n;;1.261
061006S;07h24m22sÿ-79ø 12';3';Swift;y;y;y;;;0.4377
061004;06h31m00sÿ-45ø 54';3';Swift;;y;;;;
061002;14h41m23sÿ+48ø 44';3';Swift;;y;;;;
060930;20h17m58sÿ-23ø 38';2'.5;INTEGRAL;;;;;;
060929;17h32m40sÿ+29ø 49';3';Swift;;y;;;;
060928;08h30m33sÿ-42ø 13';98'x4';IPN;y;y;;;;
060927;21h58m13sÿ+05ø 21';3';Swift;;y;y;;;5.47
060926;17h35m49sÿ+13ø 02';3';Swift;;y;y;;;3.20
060923C;23h04m30sÿ+03ø 57';3';Swift;;y;y;n;;<11
060923B;15h52m48sÿ-30ø 54';3';Swift;;y;;;;1.5094
060923;16h58m30sÿ+12ø 23';3';Swift;;y;y;n;;<2.8
060919;18h27m39sÿ-51ø 02';3';Swift;;y;;;;
060912B;18h04m57sÿ-19ø 53';2'.5;INTEGRAL;;;;;;
060912;00h21m09sÿ+20ø 58';3';Swift;y;y;y;n;;0.937
060908;02h07m20sÿ+00ø 22';3';Swift;y;y;y;n;;1.8836
060906;02h43m00sÿ+30ø 21';3';Swift;;y;y;;;3.686
060904B;03h52m51sÿ-00ø 43';3';Swift;;y;y;;;0.703
060904;15h50m58sÿ+44ø 58';3';Swift;y;y;;;;
060901;19h08m38sÿ-06ø 38';2'.5;INTEGRAL;y;y;y;;;
060825;01h12m24sÿ+55ø 48';3';Swift;;y;;n;;
060814;14h45m23sÿ+20ø 35';3';Swift;y;y;y;;;1.9229
060813;07h27m28sÿ-29ø 51';3';Swift;y;y;;;;
060807;16h50m07sÿ+31ø 35';3';Swift;;y;y;;;<3.4
060805B;18h10m02sÿ+58ø 09';12'x4';IPN;y;y;;;;
060805;14h43m41sÿ+12ø 36';3';Swift;;y;;;;2.3633
060804;07h28m48sÿ-27ø 14';3';Swift;;y;y;;;
060801S;14h12m06sÿ+16ø 59';3';Swift;;y;;;;1.131
060729;06h21m21sÿ-62ø 21';3';Swift;;y;y;;;0.54
060728;01h06m46sÿ-41ø 23';3';Swift;;n;;;;
060719;01h13m49sÿ-48ø 22';3';Swift;;y;y;n;;1.5320
060717S;11h23m27sÿ+28ø 57';3';Swift;;y;;;;
060714;15h11m29sÿ-06ø 33';3';Swift;;y;y;;;2.711
060712;12h16m15sÿ+35ø 34';3';Swift;;y;;;;
060708;00h31m12sÿ-33ø 44';3';Swift;;y;y;;;1.92
060707;23h48m19sÿ-17ø 55';3';Swift;;y;y;n;;3.425
060614;21h23m27sÿ-53ø 02';3';Swift;y;y;y;;;0.125
060607B;02h48m08sÿ+14ø 44';3';Swift;;;;;;
060607;21h58m51sÿ-22ø 30';3';Swift;;y;y;;;3.0749
060605;21h28m35sÿ-06ø 04';3';Swift;;y;y;n;;3.78
060604;22h28m58sÿ-10ø 54';3';Swift;;y;y;n;;2.1357
060602;09h58m18sÿ+00ø 19';3';Swift;;y;y;;;0.787?
060526;15h31m23sÿ+00ø 15';3';Swift;;y;y;;;3.221
060522;21h31m48sÿ+02ø 53';3';Swift;;y;y;n;;5.11
060516;04h44m43sÿ-18ø 07';3';Swift;;;;;;
060515;08h29m09sÿ+73ø 33';3';Swift;;y;;;;
060512;13h03m05sÿ+41ø 13';3';Swift;;y;y;;;2.1
060510B;15h56m34sÿ+78ø 34';3';Swift;;y;y;;;4.94
060510;06h23m29sÿ-01ø 10';3';Swift;y;y;y;;;
060507;05h59m53sÿ+75ø 14';3';Swift;;y;y;;;
060505;22h07m04sÿ-27ø 49';3';Swift;;y;y;;;0.089
060502BS;18h35m45sÿ+52ø 38';3';Swift;;y;;;;0.287?
060502;16h03m26sÿ+66ø 36';3';Swift;;y;y;;;1.51
060501;21h53m28sÿ+43ø 59';3';Swift;;y;;;;
060429;07h41m57sÿ-24ø 58';33'x24';IPN;y;;;;;
060428BX;15h41m24sÿ+62ø 01';3';Swift;;y;y;;;
060428;08h14m16sÿ-37ø 10';3';Swift;;y;y;;;
060427;08h17m13sÿ+62ø 37';3';Swift;;y;;;;
060424;00h29m25sÿ+36ø 49';3';Swift;;;y;;;
060421;22h54m31sÿ+62ø 44';3';Swift;;y;;;;
060418;15h45m41sÿ-03ø 39';3';Swift;y;y;y;;;1.489
060413;19h25m12sÿ+13ø 48';3';Swift;;y;;;;
060403;18h49m13sÿ+08ø 20';3';Swift;;y;;;;
060323;11h37m38sÿ+49ø 58';3';Swift;;y;y;;;
060322;18h16m59sÿ-36ø 42';3';Swift;;y;;;;
060319;11h45m29sÿ+59ø 59';3';Swift;;y;y;;;1.172
060313S;04h26m26sÿ-10ø 52';3';Swift;y;y;y;;;<1.1
060312;03h03m04sÿ+12ø 49';3';Swift;;y;;;;
060306;02h44m24sÿ-02ø 09';3';Swift;;y;;;;1.559
060223B;16h56m58sÿ-30ø 48';3';Swift;;y;;;;
060223;03h40m52sÿ-17ø 08';3';Swift;;y;y;;;4.41
060219;16h07m14sÿ+32ø 20';3';Swift;;y;;;;
060218X;03h21m37sÿ+16ø 52';3';Swift;;y;y;y;8674;0.0331
060213;09h26m24sÿ-09ø 09';42x1.5';IPN;y;;;;;
060211B;05h00m17sÿ+14ø 57';3';Swift;;y;;;;
060211;03h53m36sÿ+21ø 29';3';Swift;;y;;;;
060210;03h50m55sÿ+27ø 02';3';Swift;;y;y;n;;3.91
060206;13h31m47sÿ+35ø 04';3';Swift;;y;y;n;;4.048
060204C;06h10m54sÿ+70ø 10';3';Swift;;;;;;
060204B;14h07m11sÿ+27ø 41';3';Swift;;y;y;;;2.3393
060204;15h29m08sÿ-39ø 28';3';INTEGRAL;;;;;;
060203;06h54m03sÿ+71ø 49';3';Swift;;y;y;;;
060202;02h23m22sÿ+38ø 22';3';Swift;;y;;;;0.783
060130;15h16m54sÿ-36ø 55';2';INTEGRAL;;;;;;
060124;05h08m10sÿ+69ø 43';3';Swift;y;y;y;n;;2.296
060123;11h59m00sÿ+45ø 31';3';Swift;;y;;;;0.56
060121S;09h09m57sÿ+45ø 40';2.7';HETE;y;y;y;;;
060117;21h51m42sÿ-59ø 59';3';Swift;y;;y;;;
060116;05h38m48sÿ-05ø 27';3';Swift;;y;y;y;;
060115;03h36m11sÿ+17ø 21';3';Swift;;y;y;;;3.53
060114;13h01m08sÿ-04ø 44';3';INTEGRAL;;;;;;
060111B;19h05m21sÿ+70ø 22';3';Swift;;y;y;;;
060111;18h24m51sÿ+37ø 36';3';Swift;;y;y;;;2.32
060110;04h50m58sÿ+28ø 23';3';Swift;;y;y;;;
060109;18h50m50sÿ+31ø 59';3';Swift;;y;;;;
060108;09h47m58sÿ+31ø 55';3';Swift;;y;y;;;2.0ph
060105;19h49m54sÿ+46ø 22';3';Swift;y;y;;n;;
060102;21h55m25sÿ-01ø 51';3';Swift;;;;;;
051227S;08h21m05sÿ+31ø 56';3';Swift;;y;y;;;0.8?
051221B;20h49m35sÿ+53ø 03';3';Swift;;y;;;;
051221S;21h54m51sÿ+16ø 54';3';Swift;y;y;y;y;;0.5465
051213;16h48m29sÿ-59ø 12';3';Swift;;;;;;
051211B;23h02m32sÿ+55ø 05';3';INTEGRAL;;y;y;;;
051211;06h56m13sÿ+32ø 41';3';HETE;;;;;;
051210S;22h00m47sÿ-57ø 38';3';Swift;;y;;;;
051117B;05h40m54sÿ-19ø 15';3';Swift;;y;;;;0.481
051117;15h13m37sÿ+30ø 52';3';Swift;;y;y;;;
051114;15h05m06sÿ+60ø 09';3';Swift;;n;;n;;
051113;12h28m53sÿ-26ø 23';3';Swift;;;;;;
051111;23h12m38sÿ+18ø 20';4';Swift;;y;y;y;;1.55
051109BX;23h01m46sÿ+38ø 40';4';Swift;;y;;;;0.08?
051109;22h01m11sÿ+40ø 50';4';Swift;y;y;y;y;;2.346
051105B;00h37m52sÿ-40ø 29';2.8';INTEGRAL;;;;;;
051105S;17h41m09sÿ+34ø 55';4';Swift;;;;;;
051103S;09h52m34sÿ+68ø 51';12'x60';IPN;y;;;;;
051028;01h48m39sÿ+47ø 49';19.5';HETE;y;y;y;;;
051022;23h56m00sÿ+19ø 36';2.5';HETE;y;y;;y;;0.809
051021B;08h24m09sÿ-45ø 31';4';Swift;;y;;;;
051021;01h56m24sÿ+09ø 07';7';HETE;;y;y;;;
051016B;08h48m16sÿ+13ø 39';4';Swift;;y;y;;;0.9364
051016;08h11m15sÿ-18ø 19';4';Swift;;y;;;;
051012;18h02m15sÿ-52ø 48';2';Swift;;y;;;;
051008;13h31m29sÿ+42ø 05';4';Swift;y;y;;;;2.77
051006;07h23m19sÿ+09ø 32';4';Swift;;y;y;;;1.059
051001;23h23m53sÿ-31ø 32';4';Swift;;y;;;;2.4296
050925S;20h13m47sÿ+34ø 20';4';Swift;;;;;;
050922C;21h09m34sÿ-08ø 46';4';Swift;y;y;y;;;2.198
050922B;00h23m12sÿ-05ø 36';4';Swift;;y;;;;4.5ph
050922X;18h04m37sÿ-32ø 01';3.5';INTEGRAL;;;;;;
050918;17h50m26sÿ-25ø 25';2.8';INTEGRAL;;;;;;
050916;09h03m58sÿ-51ø 26';4';Swift;;y;;;;
050915B;14h36m23sÿ-67ø 24';4';Swift;;y;y;;;
050915;05h26m51sÿ-28ø 02';4';Swift;;y;y;;;2.5273
050911S;00h54m46sÿ-38ø 52';4';Swift;;;;;;
050908;01h21m51sÿ-12ø 58';4';Swift;;y;y;;;3.344
050906S;03h31m13sÿ-14ø 37';4';Swift;;;;;;
050904;00h54m41sÿ+14ø 08';4';Swift;;y;y;y;;6.29
050827;04h17m07sÿ+18ø 13';4';Swift;;y;;;;
050826;05h50m55sÿ-02ø 41';4';Swift;;y;y;;;0.297
050824X;00h48m57sÿ+22ø 36';4';Swift;;y;y;;;0.83
050822X;03h24m19sÿ-46ø 01';4';Swift;;y;;;;1.434
050820B;09h02m14sÿ-72ø 40';4';Swift;;y;;;;
050820;22h29m36sÿ+19ø 35';4';Swift;y;y;y;y;;2.612
050819;23h54m56sÿ+24ø 51';4';Swift;;y;;;;2.5043
050815;19h34m18sÿ+09ø 10';4';Swift;;y;y;;;
050814;17h36m49sÿ+46ø 20';4';Swift;;y;y;;;5.77
050813S;16h08m02sÿ+11ø 15';4';Swift;;y;;;;
050807;20h12m48sÿ-37ø 22';16';HETE;;;;;;
050803;23h22m36sÿ+05ø 48';4';Swift;;y;;;;3.5ph
050802;14h37m09sÿ+27ø 48';4';Swift;;y;y;;;1.71?
050801;13h36m33sÿ-21ø 57';4';Swift;;y;y;;;1.38
050730;14h08m16sÿ-03ø 46';4';Swift;;y;y;y;;3.967
050726;13h20m12sÿ-32ø 04';4';Swift;;y;;;;<3.5
050724S;16h24m51sÿ-27ø 31';4';Swift;;y;y;y;;0.258
050721;16h53m47sÿ-28ø 23';4';Swift;;y;y;;;
050717;14h17m20sÿ-50ø 32';4';Swift;y;y;;;;
050716;22h34m23sÿ+38ø 42';4';Swift;;y;y;;;
050715;10h22m41sÿ-00ø 04';4';Swift;;;;;;
050714B;11h18m47sÿ-15ø 32';4';Swift;;y;;;;2.4383
050714;02h54m21sÿ+69ø 08';2';INTEGRAL;;y;;;;
050713B;20h31m22sÿ+60ø 55';4';Swift;;y;;;;
050713;21h22m09sÿ+77ø 04';4';Swift;y;y;y;;;<3.6
050712;05h10m46sÿ+64ø 54';4';Swift;;y;y;;;
050709S;23h01m30sÿ-38ø 59';1.'3;HETE;;y;y;;;0.1606
050701;15h09m09sÿ-59ø 25';4';Swift;;y;;;;
050626;12h26m59sÿ-63ø 08';2';INTEGRAL;;;;;;
050607;20h00m40sÿ+09ø 08';4';Swift;;y;y;;;
050603;02h39m55sÿ-25ø 11';4';Swift;y;y;y;y;;
050528;23h34m07sÿ+45ø 57';4';Swift;;;;;;
050525;18h32m35sÿ+26ø 20';4';Swift;y;y;y;y;;0.606
050522X;13h20m37sÿ+24ø 47';3';INTEGRAL;;;;;;
050520;12h50m02sÿ+30ø 27';1.'5;INTEGRAL;;y;;;;
050509CX;12h53m08sÿ-44ø 51';9.8';HETE;;y;y;y;;
050509BS;12h36m13sÿ+29ø 00';4';Swift;;y;;;;0.226
050509;20h42m21sÿ+54ø 04';4';Swift;;y;;;;
050507;03h12m13sÿ-11ø 04';4';Swift;;;;;;
050505;09h27m08sÿ+30ø 15';4';Swift;;y;y;;;4.27
050504;13h24m01sÿ+40ø 40';3';INTEGRAL;;y;;;;
050502B;09h30m10sÿ+17ø 00';4';Swift;;y;y;;;5.2ph
050502;13h29m46sÿ+42ø 40';3';INTEGRAL;;;y;;;3.793
050422;21h37m43sÿ+55ø 47';4';Swift;;y;;;;
050421;20h28m58sÿ+73ø 40';4';Swift;;y;;;;
050418;02h57m22sÿ-18ø 32';4';Swift;;;;;;
050416B;08h55m25sÿ+11ø 10';4';Swift;;;;;;
050416X;12h33m55sÿ+21ø 03';4';Swift;;y;y;y;;0.6535
050412;12h04m29sÿ-01ø 15';4';Swift;;y;;;;
050410;05h58m59sÿ+79ø 36';4';Swift;;y;;;;
050408;12h01m55sÿ+10ø 52';2.5';HETE;;y;y;;;1.2357
050406X;02h17m43sÿ-50ø 10';4';Swift;;y;y;;;
050401;16h31m31sÿ+02ø 11';4';Swift;y;y;y;y;;2.90
050326;00h27m26sÿ-71ø 22';4';Swift;y;y;;;;
050319;10h16m38sÿ+43ø 34';4';Swift;;y;y;n;;3.240
050318;03h18m43sÿ-46ø 24';4';Swift;;y;y;;;1.44
050315;20h25m53sÿ-42ø 35';4';Swift;;y;y;y;;1.949
050306;18h49m17sÿ-09ø 10';4';Swift;;y;;;;
050223;18h05m32sÿ-62ø 30';4';Swift;;y;;;;0.5915
050219B;05h25m06sÿ-57ø 46';4';Swift;;y;y;;;
050219;11h05m38sÿ-40ø 41';4';Swift;;y;;;;0.211?
050215BX;11h37m48sÿ+40ø 48';4';Swift;;y;y;;;2.62
050215;23h13m32sÿ+49ø 19';4';Swift;;;;;;
050209;08h26m09sÿ+19ø 41';7';HETE;;;;;;
050202S;19h22m18sÿ-38ø 44';4';Swift;;;;;;
050129;16h51m12sÿ-03ø 05';3';INTEGRAL;;;;;;
050128;14h38m21sÿ-34ø 46';3';Swift;;y;;;;<5.5
050126;18h32m27sÿ+42ø 23';4';Swift;;y;y;;;1.29
050124;12h51m31sÿ+13ø 02';6';Swift;;y;y;;;
050123;10h31m34sÿ-11ø 34';14';HETE;;;;;;
050117;23h53m42sÿ+65ø 56';4';Swift;;y;;;;
041228;22h26m34sÿ+05ø 03';5';Swift;;;;;;
041226;05h18m10sÿ+73ø 21';6';Swift;;;;;;
041224;03h44m48sÿ-06ø 39';7';Swift;;;;;;
041223;06h40m44sÿ-37ø 04';7';Swift;;y;y;;;
041220;19h25m09sÿ+60ø 37';12';Swift;;;;;;
041219C;22h55m51sÿ-76ø 48';12';Swift;;;;;;
041219B;11h10m42sÿ-33ø 27';12';Swift;;;;;;
041219;00h24m26sÿ+62ø 50';2';INTEGRAL;;;y;y;;0.3
041218;01h39m06sÿ+71ø 20';2'.5;INTEGRAL;;;y;n;;
041217;10h59m10sÿ-17ø 57';12';Swift;;;;;;
041211;06h43m12sÿ+20ø 24';2';HETE;;;;;;
041016;01h44m44sÿ-04ø 24';14';HETE;;;;;;
041015;00h18m37sÿ+66ø 52';2.7';INTEGRAL;;;;;;
041006;00h54m53sÿ+01ø 12';5';HETE;;y;y;;;0.716
040924;02h06m19sÿ+16ø 01';6';HETE;y;;y;n;;0.859
040916X;23h01m30sÿ-05ø 35';17';HETE;;;y;;;
040912X;23h56m54sÿ-01ø 00';7';HETE;;y;;n;;1.563
040903X;18h03m22sÿ-25ø 15';2'.5;INTEGRAL;;;;;;
040827;15h16m59sÿ-16ø 08';3';INTEGRAL;;y;y;;;
040825BX;22h46m34sÿ-02ø 24';9';HETE;;;;;;
040825;22h58m59sÿ-10ø 56';7';HETE;;;;;;
040812X;16h26m05sÿ-44ø 43';2';INTEGRAL;;y;y;;;
040810;23h54m08sÿ-35ø 04';30';HETE;y;;;;;
040802;18h47m24sÿ-44ø 29';22'x330';HETE;y;;;;;
040730;15h53m16sÿ-56ø 27';2';INTEGRAL;;;;;;
040709;20h53m53sÿ-28ø 13';95';HETE;;;;;;
040701X;20h47m46sÿ-40ø 14';8';HETE;;y;;;;
040624;13h00m10sÿ-03ø 35';3';INTEGRAL;;;;;;
040511;14h47m50sÿ-44ø 15';1.3';HETE;;;y;;;
040425;15h31m36sÿ-39ø 43';3'x420';HETE;y;;;;;
040423;15h06m44sÿ-24ø 48';3'x660';HETE;;;;;;
040422;18h42m00sÿ+01ø 59';2.5';INTEGRAL;;;y;;;
040403;07h40m55sÿ+68ø 13';2.7';INTEGRAL;;;;;;
040323;13h53m53sÿ-52ø 21';2.0';INTEGRAL;;;;;;
040319;10h10m41sÿ-23ø 47';20'x870';HETE;;;;;;
040228B;10h12m12sÿ-07ø 20';22'x56';HETE;;;;;;
040223;16h39m34sÿ-41ø 56';2.5';INTEGRAL;;y;;;;
040106;11h52m15sÿ-46ø 46';3';INTEGRAL;;y;y;;;
031220;04h39m34sÿ+07ø 22';11';HETE;;y;y;;;
031203;08h02m30sÿ-39ø 51';2.5';INTEGRAL;;y;y;y;8250, 8308;0.105
031111BX;03h59m05sÿ+34ø 36';15';HETE;;;;;;
031111;04h49m44sÿ+17ø 28';120';HETE;y;;;;;
031109BX;00h17m03sÿ-07ø 09';20';HETE;y;;;;;
031026;03h18m42sÿ+28ø 22';15';HETE;;;;;;
030913;20h58m02sÿ-02ø 12';30';HETE;;;;;;
030824X;00h05m02sÿ+19ø 55';11';HETE;;;;;;
030823X;21h30m47sÿ+21ø 59';6';HETE;;;;;;
030821;21h42m33sÿ-45ø 12';120'x10';HETE;y;;;;;
030725;20h33m47sÿ-50ø 46';28';HETE;y;;y;;;
030723X;21h49m30sÿ-27ø 42';2';HETE;;y;y;;;
030528X;17h04m02sÿ-22ø 39';2';HETE;;y;y;;;0.782
030519B;16h04m36sÿ-33ø 28';17'*2';HETE;y;;;;;
030509;05h26m24sÿ+07ø 09';70'*4';IPN;y;;;;;
030501B;18h54m19sÿ+23ø 52';80'*5';IPN;y;;;;;
030501;19h05m30sÿ+06ø 18';3';INTEGRAL;;;;;;
030429X;12h13m06sÿ-20ø 56';2';HETE;;;y;;;2.65
030418;10h54m53sÿ-06ø 59';14';HETE;;;y;;;
030416X;11h06m51sÿ-02ø 53';7';HETE;;;;;;
030414;07h59m33sÿ-48ø 35';35'*4';IPN;y;;;;;
030413;13h14m25sÿ+62ø 21';100'*3';IPN;y;;;;;
030329;10h44m50sÿ+21ø 31';2';HETE;;y;y;y;8101;0.168
030328;12h10m46sÿ-09ø 22';2';HETE;;y;y;;;1.52
030326;19h31m52sÿ-11ø 43';65'*3';IPN;y;;;;;
030325;04h43m07sÿ-19ø 06';60'*4';IPN;y;;;;;
030324;13h37m11sÿ-00ø 19';7';HETE;;;y;;;
030323;11h06m06sÿ-21ø 54';12';HETE;;;y;;;3.372
030320;17h51m31sÿ-25ø 18';5';INTEGRAL;y;;;;;
030306;21h53m27sÿ-10ø 52';6'*7';IPN;y;;;;;
030227;04h57m18sÿ+20ø 29';5';INTEGRAL;;y;y;;8087;
030226;11h33m05sÿ+25ø 54';2';HETE;;y;y;;;1.98
030204;00h03m21sÿ+32ø 44';7'*10';IPN;y;;;;;
030131;13h27m08sÿ+30ø 46';10';INTEGRAL;y;;y;;;
030115C;12h56m36sÿ-48ø 28';30'*22';IPN;y;;;;;
030115B;21h38m58sÿ-80ø 14';9'*6';IPN;y;;;;;
030115;11h18m30sÿ+15ø 02';2';HETE;;;y;y;;
021219;18h50m00sÿ+31ø 52';20';INTEGRAL;y;;;;;
021211;08h08m55sÿ+06ø 44';14';HETE;;;y;;;1.01
021206;16h00m43sÿ-09ø 43';10'*6';IPN;y;;;y;;
021204;06h20m33sÿ+32ø 06';29';HETE;;;;;;
021201;08h07m46sÿ+21ø 14';3'*3';IPN;y;;;;;
021125;19h47m00sÿ+28ø 06';30';INTEGRAL;y;;;;;
021113;01h33m56sÿ+40ø 27';27';HETE;y;;;;;
021112;02h36m52sÿ+48ø 51';20';HETE;;;;;;
021104X;03h53m48sÿ+37ø 57';26';HETE;;;;;;
021023;07h24m55sÿ-16ø 17';18'*3';IPN;y;;;;;
021021X;00h17m23sÿ-01ø 37';20';HETE;y;;;;;
021020;21h29m19sÿ+51ø 56';10'*5';IPN;y;;;;;
021016;00h33m44sÿ+46ø 47';30'*7';HETE;y;;;;;
021013;14h51m56sÿ-56ø 14';32'*3';IPN;y;;;;;
021008;12h45m48sÿ+44ø 11';12'*6';IPN;y;;;;;
021004;00h26m56sÿ+18ø 56';2';HETE;;y;y;y;;2.33
020923;14h06m07sÿ+50ø 31';32'*13';IPN;y;;;;;
020910;13h56m01sÿ-44ø 44';22'*2';IPN;y;;;;;
020904;01h41m58sÿ-62ø 07';50'*10';IPN;y;;;;;
020903X;22h49m01sÿ-20ø 56';16';HETE;;;y;y;;0.25
020819B;23h27m24sÿ+06ø 16';2';HETE;y;;;y;;1.9621
020813;19h46m38sÿ-19ø 35';1';HETE;y;y;y;y;;1.25
020812;20h38m48sÿ-05ø 23';14';HETE;;;;;;
020801;20h43m08sÿ-46ø 50';30';HETE;;;;;;
020715;13h50m13sÿ+61ø 51';46'*3';IPN;y;;;;;
020714;12h09m05sÿ+83ø 07';20'*10';IPN;y;;;;;
020708;09h16m20sÿ+28ø 27';14'*8';IPN;y;;;;;
020706;14h21m35sÿ-55ø 46';15'*10';IPN;y;;;;;
020625BX;20h44m14sÿ+07ø 10';32'*18';HETE;;;;;;
020604;16h27m32sÿ-29ø 48';35'*5';IPN;y;;;;;
020603;19h31m16sÿ+04ø 55';12'*2';IPN;y;;;;;
020531;15h15m04sÿ-19ø 25';38';HETE;y;;;;;
020525;11h29m33sÿ-20ø 21';5'*5';IPN;y;;;;;
020427X;22h09m34sÿ-65ø 20';3';SAX/WFC;;y;;;;
020418B;08h00m18sÿ-48ø 39';3'*7';IPN;y;;;;;
020413;00h59m38sÿ-07ø 07';4'*5';IPN;y;;;;;
020410;22h07m04sÿ-83ø 49';2';SAX/WFC;;y;y;;;
020409;08h45m14sÿ+66ø 41';3';SAX/WFC;;;;;;
020405;13h58m10sÿ-31ø 23';15'*5';Uly/MO/SAX;y;;y;y;;0.69
020331;13h16m34sÿ-17ø 52';10';HETE;;;y;;;
020322;17h59m45sÿ+81ø 05';5';SAX/WFC;;y;y;;;
020321;16h13m05sÿ-83ø 43';5';SAX/WFC;;;;;;
020317X;10h23m00sÿ+12ø 43';30';HETE;;;;;;
020305;12h43m03sÿ-14ø 33';25';HETE;y;;y;;;0.2?
020127;08h15m06sÿ+36ø 44';8';HETE;y;y;;y;;1.9ph
020124;09h33m08sÿ-11ø 35';19';HETE;y;;y;;;3.198
011212X;05h00m05sÿ+32ø 08';11';HETE;;;;;;
011211;11h15m16sÿ-21ø 56';1';SAX/WFC;;y;y;;;2.14
011130X;02h57m49sÿ+07ø 22';40';HETE;;;;;;
011121;11h34m25sÿ-76ø 02';2';SAX/WFC;y;y;y;y;;0.36
011030X;20h43m35sÿ+77ø 17';2';SAX/WFC;;;;y;;<3
011019X;00h42m50sÿ-12ø 27';35*35';HETE;;;;;;
010921;22h55m35sÿ+40ø 56';20*15';HE/Uly/SAX;y;;y;y;;0.45
010728;11h40m07sÿ-07ø 57';6';RXTE/ASM;;;;;;
010629B;16h32m38sÿ-18ø 43';15';HETE;y;;;;;
010613;17h00m40sÿ+14ø 16';60*20';HETE/Uly/Ko;y;;;;;
010612;18h03m18sÿ-32ø 08';60*30';HETE/Uly/Ko;y;;;;;
010518;10h46m44sÿ-57ø 47';5';SAX/WFC;;;;;;
010412;19h39m39sÿ+13ø 37';6';SAX/WFC;y;;;;;
010326B;11h24m24sÿ-11ø 10';20';HETE;;;;;;
010326;08h51m51sÿ-38ø 18';20';HETE/Uly/Ko;y;;;;;
010324;07h11m06sÿ+20ø 05';2'*13';ASM;y;;;;;
010222;14h52m12sÿ+43ø 01';2.5';SAX/WFC;;y;y;y;;1.477
010220;02h36m59sÿ+61ø 46';4';SAX/WFC;;;;;;
010214;17h41m00sÿ+48ø 33';3';SAX/WFC;;y;;;;
010213X;10h31m36sÿ+05ø 31';30';HETE;;;;;;
010126;11h57m09sÿ+49ø 45';3'*18';ASM/Uly/Ko;y;;;;;
010119S;18h53m50sÿ+12ø 01';3'*4';Uly/Ko/NE;y;;;;;
010115;20h48m28sÿ-06ø 21';9'*30';Uly/Ko/NE;y;;;;;
010109;21h33m03sÿ-49ø 31';5'*90';Uly/Ko/NE;y;;;;;
010104;17h49m46sÿ+18ø 14';5'*40';Uly/Ko/NE;y;;;;;
010103;08h03m47sÿ-16ø 07';7'*55';Uly/Ko/NE;y;;;;;
001219;06h53m44sÿ-57ø 29';4'*25';Uly/Ko/NE;y;;;;;
001212;06h49m35sÿ+36ø 22';4'*8';Uly/Ko/NE;y;;;;;
001204S;02h41m09sÿ+12ø 54';4'*5';Uly/Ko/NE;y;;;;;
001120;22h18m28sÿ+01ø 06';3'*30';Uly/Ko/NE;y;;;;;
001109;18h30m07sÿ+55ø 18';4';SAX/WFC;;y;;;7519;
001105;13h01m54sÿ+35ø 29';3'*8';Uly/Ko/NE;y;;;;;
001025BS;18h21m41sÿ-05ø 08';8'*14';Uly/Ko/NE;y;;;;;
001025;08h36m36sÿ-13ø 04';5'*5';ASM/Uly;y;;;;;
001020;18h06m32sÿ-24ø 46';2'*35';Uly/Ko/NE;y;;;;;
001019;17h11m44sÿ+35ø 20';2'*12';Uly/Ko/NE;y;;;;;
001018;13h14m10sÿ+11ø 49';3'*5';Uly/Ko/NE;y;;;;;
001017;18h08m42sÿ-02ø 59';4'*80';Uly/Ko/NE;y;;;;;
001011;18h23m28sÿ-50ø 54';5';SAX/WFC;;;y;;;
001007;04h05m52sÿ-21ø 54';3'*13';Uly/Ko/NE;y;;y;;;
001005;01h24m05sÿ+25ø 00';7'*22';Uly/Ko/NE;y;;;;;
001004;16h00m21sÿ-56ø 49';20'*360';Uly/Ko/NE;y;;;;;
000926;17h04m15sÿ+51ø 46';3'*10';Uly/Ko/NE;y;y;y;y;;2.066
000925;14h20m27sÿ+19ø 49';5'*12';Uly/Ko/NE;y;;;;;
000911;02h18m42sÿ+07ø 48';3'*10';Uly/Ko/NE;y;;y;y;;1.058
